LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 76 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 78- 81 HGTH   : Station elevation in meters
 83- 86 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 88- 95 BEGIN  : Begin date YYYYMMDD
 97-104 END    : End date YYYYMMDD
106-110 PARID  : Participant identifier
112-162 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,      LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 1314,104234,RIO ROBALO EN PUERTO WILLIAMS           ,CL,-54:56:49,-67:38:21,  80, TG1,19650909,20131231,    8,DGA-WEB                                           
 1323,104285,GUARDIA MARINA ZANARTU PTO WILLIAMS AD. ,CL,-59:55:54,-67:36:56,   0, TG1,19680212,20131231,    6,Juan Quintana                                     
 1325,104293,EL LOA CALAMA AD.                       ,CL,-22:29:43,-69:54:16,2293, TG1,19630222,20131231,    6,Juan Quintana                                     
 1326,104297,MATAVERI ISLA DE PASCUA AP.             ,CL,-27:09:38,-109:25:37,  47, TG1,19630726,20131231,    6,Juan Quintana                                     
 1327,102446,PIRQUE                                  ,CL,-33:40:25,-70:35:13, 659, TG1,19750710,19931231,    8,DGA-WEB                                           
 1327,104301,EULOGIO SANCHEZ TOBALABA AD.            ,CL,-33:27:16,-70:32:52, 650, TG1,19690101,20131231,    6,Juan Quintana                                     
 1328,104305,PUDAHUEL SANTIAGO                       ,CL,-33:32:31,-70:47:40, 480, TG1,19670106,20131231,    6,Juan Quintana                                     
 1329,104310,JUAN FERNANDEZ ESTACION METEOROLOGICA.  ,CL,-33:38:12,-78:50:06,  35, TG1,19600523,20131231,    6,Juan Quintana                                     
 1330,104314,MARIA DOLORES LOS ANGELES AD.           ,CL,-37:24:10,-72:25:21, 120, TG1,19600101,20131231,    6,Juan Quintana                                     
 1331,104318,CHAITEN AD.                             ,CL,-42:55:52,-72:49:44,  70, TG1,19651102,20050727,    6,Juan Quintana                                     
